naam, type, uri, functie
J.J. Atsma,nevenfuncties,https://www.eerstekamer.nl/persoon/j_j_atsma_cda#49,"chef d'équipe wielrennen, Olympische Spelen Seoel (1988), Barcelona (1992), Atlanta (1996), Sydney(2000) en Athene (2004)"
J.J. Atsma,nevenfuncties,https://www.eerstekamer.nl/persoon/j_j_atsma_cda#50,"gedelegeerde UCI Olympische Spelen Beijing (2008)"
J.J. Atsma,nevenfuncties,https://www.eerstekamer.nl/persoon/j_j_atsma_cda#51,"lid Raad van Advies Eneco Tour"
jhr. mr. J.P. Backer,opleiding,https://www.eerstekamer.nl/persoon/jhr_mr_j_p_backer_d66#1,"Nederlands recht, Rijksuniversiteit Leiden, tot 1978"
jhr. mr. J.P. Backer,opleiding,https://www.eerstekamer.nl/persoon/jhr_mr_j_p_backer_d66#2,"h.b.s.-b, \"Kees Boeke Werkplaats Kindergemeenschap\" te Bilthoven"
jhr. mr. J.P. Backer,loopbaan,https://www.eerstekamer.nl/persoon/jhr_mr_j_p_backer_d66#3,"zelfstandig adviseur Roodhoorn Consultants B.V., juridische en publiek/private vraagstukken, vanaf juni 2012"
jhr. mr. J.P. Backer,loopbaan,https://www.eerstekamer.nl/persoon/jhr_mr_j_p_backer_d66#4,"director Corporate Legal N.V. Luchthaven Schiphol (Schiphol Group), van 2001 tot 2012"
jhr. mr. J.P. Backer,loopbaan,https://www.eerstekamer.nl/persoon/jhr_mr_j_p_backer_d66#5,"vice-president Shell Rusland (SEPS), van 1998 tot 2001"
jhr. mr. J.P. Backer,loopbaan,https://www.eerstekamer.nl/persoon/jhr_mr_j_p_backer_d66#6,"senior legal counsel Shell international, van 1993-1998"
jhr. mr. J.P. Backer,loopbaan,https://www.eerstekamer.nl/persoon/jhr_mr_j_p_backer_d66#7,"bedrijfsjurist bij Shell international, van 1989-1990"
jhr. mr. J.P. Backer,loopbaan,https://www.eerstekamer.nl/persoon/jhr_mr_j_p_backer_d66#8,"manager juridische afdeling Shell Nederland Raffinaderij, van 1990-1993"
jhr. mr. J.P. Backer,loopbaan,https://www.eerstekamer.nl/persoon/jhr_mr_j_p_backer_d66#9,"advocaat en procureur, advocatenkantoor \"De Brauw, Blackstone en Westbroek\" te 's-Gravenhage, van 1983 tot 1989"
jhr. mr. J.P. Backer,loopbaan,https://www.eerstekamer.nl/persoon/jhr_mr_j_p_backer_d66#10,"persoonlijk medewerker L.J. Brinkhorst, Tweede Kamerlid, van 1979 tot 1983"
jhr. mr. J.P. Backer,nevenfuncties,https://www.eerstekamer.nl/persoon/jhr_mr_j_p_backer_d66#11,"lid Toezichthoudend Bestuur Stichting Werkplaats Kindergemeenschap, Bilthoven, vanaf 1 maart 2015"
jhr. mr. J.P. Backer,nevenfuncties,https://www.eerstekamer.nl/persoon/jhr_mr_j_p_backer_d66#12,"adviseur NRGValue International BV, vanaf 10 februari 2014"
jhr. mr. J.P. Backer,nevenfuncties,https://www.eerstekamer.nl/persoon/jhr_mr_j_p_backer_d66#13,"adviseur N.V. Luchthaven Schiphol (Schiphol Group), vanaf juni 2012"
jhr. mr. J.P. Backer,nevenfuncties,https://www.eerstekamer.nl/persoon/jhr_mr_j_p_backer_d66#14,"Lid Raad van Advies Vereniging van Toezichthouders in Onderwijsinstellingen (VTOI)"
jhr. mr. J.P. Backer,nevenfuncties,https://www.eerstekamer.nl/persoon/jhr_mr_j_p_backer_d66#15,"lid bestuur Stichting Luchtmans (Koninklijke Brill N.V.), vanaf 11 april 2008"
jhr. mr. J.P. Backer,nevenfuncties,https://www.eerstekamer.nl/persoon/jhr_mr_j_p_backer_d66#16,"lid bestuur Stichting Fundatie Notelaers, vanaf 1 maart 2004"
jhr. mr. J.P. Backer,nevenfuncties,https://www.eerstekamer.nl/persoon/jhr_mr_j_p_backer_d66#17,"lid / secretaris bestuur Stichting Peijster (Bussum), vanaf 23 januari 2003"
jhr. mr. J.P. Backer,nevenfuncties,https://www.eerstekamer.nl/persoon/jhr_mr_j_p_backer_d66#18,"mede-uitgever maandblad \"Kollegia\" voor bedrijfsjuristen en advocaten in Moskou, van 2001 tot 2008; mede-oprichter"
jhr. mr. J.P. Backer,nevenfuncties,https://www.eerstekamer.nl/persoon/jhr_mr_j_p_backer_d66#19,"gastdocent olie- en gasrecht Universiteit Leiden"
jhr. mr. J.P. Backer,nevenfuncties,https://www.eerstekamer.nl/persoon/jhr_mr_j_p_backer_d66#20,"lid adviescommissie Europees Energie Handvest"
jhr. mr. J.P. Backer,nevenfuncties,https://www.eerstekamer.nl/persoon/jhr_mr_j_p_backer_d66#21,"adviseur wetgevingsoperatie voor olie en gas in Russische Federatie o.a. met Wereldbank"
jhr. mr. J.P. Backer,nevenfuncties,https://www.eerstekamer.nl/persoon/jhr_mr_j_p_backer_d66#22,"lid werkgroep Multinationale Ondernemingen van VNO, van 1998 tot 2001"
drs. M.A.M. Barth,opleiding,https://www.eerstekamer.nl/persoon/drs_m_a_m_barth_pvda#1,"politicologie, Universiteit van Amsterdam, van 1983 tot 1989"
drs. M.A.M. Barth,opleiding,https://www.eerstekamer.nl/persoon/drs_m_a_m_barth_pvda#2,"VWO \"Han Fortmann College\" te Heerhugowaard, van 1976 tot 1983"
