naam, type, uri, functie
Lea Bouwmeester,loopbaan,http://www.tweedekamer.nl/kamerleden/alle_kamerleden/bouwmeester-lt-pvda#4,"Sociaal raadsvrouw, Amsterdam en Amersfoort 2003-2006"
Lea Bouwmeester,loopbaan,http://www.tweedekamer.nl/kamerleden/alle_kamerleden/bouwmeester-lt-pvda#5,"Beleidsmedewerker, bureau discriminatiezaken Amersfoort 2005-2006"
Lea Bouwmeester,loopbaan,http://www.tweedekamer.nl/kamerleden/alle_kamerleden/bouwmeester-lt-pvda#6,"Medewerker woningbouwvereniging Rochdale Amsterdam 2006"
Lea Bouwmeester,loopbaan,http://www.tweedekamer.nl/kamerleden/alle_kamerleden/bouwmeester-lt-pvda#7,"Vice-fractievoorzitter PvdA Almere 2006"
Han ten Broeke,opleiding,http://www.tweedekamer.nl/kamerleden/alle_kamerleden/broeke-jh-ten-vvd#1,"VWO, Bouwmeester Scholengemeenschap 1981-1988"
Han ten Broeke,opleiding,http://www.tweedekamer.nl/kamerleden/alle_kamerleden/broeke-jh-ten-vvd#2,"Politicologie, Universiteit Leiden 1988-1998"
Han ten Broeke,loopbaan,http://www.tweedekamer.nl/kamerleden/alle_kamerleden/broeke-jh-ten-vvd#3,"Persoonlijk medewerker Tweede Kamerlid VVD A. Jorritsma 1992-1994"
Han ten Broeke,loopbaan,http://www.tweedekamer.nl/kamerleden/alle_kamerleden/broeke-jh-ten-vvd#4,"Politiek assistent minister van Verkeer en Waterstaat A. Jorritsma 1994-1996"
Han ten Broeke,loopbaan,http://www.tweedekamer.nl/kamerleden/alle_kamerleden/broeke-jh-ten-vvd#5,"Hoofd Public Affairs, Koninklijke KPN NV 1996-2001"
Han ten Broeke,loopbaan,http://www.tweedekamer.nl/kamerleden/alle_kamerleden/broeke-jh-ten-vvd#6,"Directiesecretaris, KPN Orange, België 2001-2003"
Han ten Broeke,loopbaan,http://www.tweedekamer.nl/kamerleden/alle_kamerleden/broeke-jh-ten-vvd#7,"Manager Business Unit BASE NV/SA, België 2003-2004"
Han ten Broeke,loopbaan,http://www.tweedekamer.nl/kamerleden/alle_kamerleden/broeke-jh-ten-vvd#8,"Directeur technology, PA/PR Agency Weber Shandwick Brussel 2004-2005"
Han ten Broeke,loopbaan,http://www.tweedekamer.nl/kamerleden/alle_kamerleden/broeke-jh-ten-vvd#9,"Directeur/eigenaar Quinten Consulting BVBA 2004-2005"
Hanke Bruins Slot,opleiding,http://www.tweedekamer.nl/kamerleden/alle_kamerleden/bruins-slot-hgj-cda#1,"Nederlands recht: staats- en bestuursrecht, Universiteit Utrecht 1996-2001"
Hanke Bruins Slot,opleiding,http://www.tweedekamer.nl/kamerleden/alle_kamerleden/bruins-slot-hgj-cda#2,"Recht, bestuur en management, Universiteit Utrecht 1997-2001"
Hanke Bruins Slot,opleiding,http://www.tweedekamer.nl/kamerleden/alle_kamerleden/bruins-slot-hgj-cda#3,"Postacademische officiersopleiding, KMA (Koninklijke Militaire Academie) 2005-2007"
Hanke Bruins Slot,opleiding,http://www.tweedekamer.nl/kamerleden/alle_kamerleden/bruins-slot-hgj-cda#4,"Vaktechnische opleiding Commandant Vuurmondpeloton Panzerhouwitzer (Artillerie) 2007"
Hanke Bruins Slot,loopbaan,http://www.tweedekamer.nl/kamerleden/alle_kamerleden/bruins-slot-hgj-cda#5,"Student-assistent, Centrum voor Beleid en Management 1998-2000"
